"Book Id","ISBN","Bookshelf","Tags","Wishlist","Started Reading On","Ended Reading On","Pages Read","Read","My Rating","Short note","Advanced note","Quotes","Title","Subtitle","Language","Categories","Authors","Illustrators","Translators","Editors","Narrators","Photographers","Publisher","Page Count","Published At","Format","Series","Volume","Loan Type","Loan Name","Loan Start Date","Loan Due Date","Purchase From","Purchase Price","Purchase Date","Description","Date added"
"8953772","9781529510676","Children-YA-Adult Books ","Shadowhunters",0,,,0,0,,,,"","Chain of Thorns","Chain of Thorns","en","Fiction,Fantasy","Cassandra Clare","","","","","","Walker Books Ltd.",676,"2023-01-31","paperback","The last hours",3,,,,,"Amazon","undefined 13.50","2023-04-20",,"2023-04-20"
""2741687","9780062946140","Children-YA-Adult Books ","",0,,,0,0,,,,"","Dark Rise",,"en","YOUNG ADULT FICTION/Romance / General,YAF Coming of Age","C. S. Pacat","","","","","","Quill Tree Books",464,"2021-09-01","hardcover","Dark Rise",1,,,,,"Amazon","undefined 14.01","2022-12-29","In this stunning new fantasy novel from international bestselling author C. S. Pacat, heroes and villains of a long-forgotten war are reborn and begin to draw new battle lines. This epic fantasy with high-stakes romance will sit perfectly on shelves next to beloved fantasy novels like the Infernal Devices series, the Shadow and Bone trilogy, and the Red Queen series.

Sixteen-year-old dock boy Will is on the run, pursued by the men who killed his mother. Then an old servant tells him of his destiny to fight beside the Stewards, who have sworn to protect humanity if the Dark King ever returns. Will is thrust into a world of magic, where he starts training for a vital role in the oncoming battle against the Dark.

As London is threatened and old enmities are awakened, Will must stand with the last heroes of the Light to prevent the fate that destroyed their world from returning to destroy his own.

Like V.E. Schwab’s A Darker Shade of Magicand Shelby Mahurin’s Serpent & Dove, Dark Rise is more than just high intrigue fantasy—it’s fast-paced, action-packed, and completely surprising. Readers will love exploring the rich setting of nineteenth-century London. This thrilling story of friendship, deception, loyalty, and betrayal is sure to find a passionate audience of readers.","2022-12-29"
"5824408","9781035002146","Children-YA-Adult Books ","",0,,,0,0,,,,"","Wolfsong",,"en","Fiction,Contemporary Fiction,Fantasy","Travis Klune","","","","","","Pan Macmillan",496,"2022-09-01","paperback",,,,,,,"Book Depository","undefined 14.75","2022-12-23",,"2022-12-23"
"5686130","9781406307634","Children-YA-Adult Books ","Shadowhunters",0,,,411,1,2,,,"","City of Ashes",,"en","Fantasy","Cassandra Clare","","","","","","Walker Childrens Paperbacks",411,"2008-07-07","paperback","The Mortal Instruments",2,,,,,,,,"Clary Fray just wishes that her life would go back to normal. But what's normal when you're a demon-slaying Shadowhunter, your mother is in a magically induced coma, and you can suddenly see Downworlders like werewolves, vampires, and faeries? If Clary left the world of the Shadowhunters behind, it would mean more time with her best friend, Simon, who's becoming more than a friend. But the Shadowhunting world isn't ready to let her go — especially her handsome, infuriating, newfound brother, Jace. And Clary's only chance to help her mother is to track down rogue Shadowhunter Valentine, who is probably insane, certainly evil — and also her father.

To complicate matters, someone in New York City is murdering Downworlder children. Is Valentine behind the killings — and if he is, what is he trying to do? When the second of the Mortal Instruments, the Soul-Sword, is stolen, the terrifying Inquisitor arrives to investigate and zooms right in on Jace. How can Clary stop Valentine if Jace is willing to betray everything he believes in to help their father?

In this breathtaking sequel to City of Bones, Cassandra Clare lures her readers back into the dark grip of New York City's Downworld, where love is never safe and power becomes the deadliest temptation.","2021-12-19"
"3750433","9781406355819","Children-YA-Adult Books ","Shadowhunters",0,,,638,1,2.5,,,"","City of Heavenly Fire (The Mortal Instruments, #6)",,"en","Children's Literature Studies: General,General,Fantasy","Cassandra Clare","","","","","","Walker",638,"2015-02-01","paperback","The Mortal Instruments",6,,,,,,,,"Darkness returns to the Shadowhunter world. As their society falls apart around them, Clary, Jace, Simon, and their friends must band together to fight the greatest evil the Nephilim have ever faced: Clary’s own brother. Nothing in the world can defeat him—must they journey to another world to find the chance? Lives will be lost, love sacrificed, and the whole world change in the sixth and last installment of the Mortal Instruments series!","2021-12-19"
"3750419","9781406337600","Children-YA-Adult Books ","Shadowhunters",0,,,544,1,2,,,"","City of Lost Souls (The Mortal Instruments, #5)",,"en","Children's Literature Studies: General,Fantasy","Cassandra Clare","","","","","","Walker Books",544,"2012-09-06","paperback","The Mortal Instruments",5,,,,,,,,"Jace is now a servant of evil, bound for all eternity to Sebastian. Only a small band of Shadowhunters believe he can be saved. To do this they must defy the Clave. And they must act without Clary. For Clary is playing a dangerous game utterly alone. The price of losing is not just her own life, but Jace's soul. Clary is willing to do anything for Jace, but can she still trust him? Or is he truly lost? What price is too high to pay, even for love?","2021-12-19"
"3750413","9781406330335","Children-YA-Adult Books ","Shadowhunters",0,,,435,1,2,,,"","City of Fallen Angels (The Mortal Instruments, #4)",,"en","Fantasy,Romance,Fiction","Cassandra Clare","","","","","","Walker Books",435,"2011-01-01","paperback","The Mortal Instruments",4,,,,,,,,"The Mortal War is over, and sixteen-year-old Clary Fray is back home in New York, excited about all the possibilities before her. She’s training to become a Shadowhunter and to use her unique power. Her mother is getting married to the love of her life. Downworlders and Shadowhunters are at peace at last. And—most importantly of all—she can finally call Jace her boyfriend.

But nothing comes without a price.

Someone is murdering Shadowhunters, provoking tensions between Downworlders and Shadowhunters that could lead to a second, bloody war. Clary’s best friend, Simon, can’t help her—his mother just found out that he’s a vampire, and now he’s homeless. When Jace begins to pull away from her without explaining why, Clary is forced to delve into the heart of a mystery whose solution reveals her worst nightmare: she herself has set in motion a terrible chain of events that could lead to her losing everything she loves. Even Jace.","2021-12-19"
"3750399","9781406307641","Children-YA-Adult Books ","Shadowhunters",0,,,508,1,2,,,"","City of Glass (The Mortal Instruments, #3)",,"en","Fantasy","Cassandra Clare","","","","","","Walker Books",508,"2009-07-06","paperback","The Mortal Instruments",3,,,,,,,,"To save her mother’s life, Clary must travel to the City of Glass, the ancestral home of the Shadowhunters — never mind that entering the city without permission is against the Law, and breaking the Law could mean death. To make things worse, she learns that Jace does not want her there, and her best friend, Simon, has been thrown in prison by the Shadowhunters, who are deeply suspicious of a vampire who can withstand sunlight.

As Clary uncovers more about her family’s past, she finds an ally in mysterious Shadowhunter Sebastian. With Valentine mustering the full force of his power to destroy all Shadowhunters forever, their only chance to defeat him is to fight alongside their eternal enemies. But can Downworlders and Shadowhunters put aside their hatred to work together? While Jace realizes exactly how much he’s willing to risk for Clary, can she harness her newfound powers to help save the Glass City — whatever the cost?","2021-12-19"
"3750387","9781406307627","Children-YA-Adult Books ","Shadowhunters",0,,,506,1,2,,,"","City of Bones (The Mortal Instruments, #1)",,"en","Fantasy","Cassandra Clare","","","","","","Walker Books Ltd",506,"2013-01-01","paperback","The Mortal Instruments",1,,,,,,,,"When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It's hard to call the police when the murderers are invisible to everyone else and when there is nothing―not even a smear of blood―to show that a boy has died. Or was he a boy?

This is Clary's first meeting with the Shadowhunters, warriors dedicated to ridding the earth of demons. It's also her first encounter with Jace, a Shadowhunter who looks a little like an angel and acts a lot like a jerk. Within twenty-four hours Clary is pulled into Jace's world with a vengeance, when her mother disappears and Clary herself is attacked by a demon. But why would demons be interested in ordinary mundanes like Clary and her mother? And how did Clary suddenly get the Sight? The Shadowhunters would like to know...

Exotic and gritty, exhilarating and utterly gripping, Cassandra Clare's ferociously entertaining fantasy takes readers on a wild ride that they will never want to end.

Librarian's note: See alternate cover editions for this ISBN here and here and here.","2021-12-19"
"53948","9781471116636","Children-YA-Adult Books ","Shadowhunters",0,,,669,1,2,,,"","Lady Midnight (The Dark Artifices, #1)","Lady Midnight (the Dark Artifices)","en","Fantasy","Cassandra Clare","","","","","","Simon & Schuster Children's UK",669,"2017-01-26","paperback","The dark artifices",1,,,,,,,,"The Shadowhunters of Los Angeles star in the first novel in Cassandra Clare’s newest series, The Dark Artifices, a sequel to the internationally bestselling Mortal Instruments series. Lady Midnight is a Shadowhunters novel.

It’s been five years since the events of City of Heavenly Fire that brought the Shadowhunters to the brink of oblivion. Emma Carstairs is no longer a child in mourning, but a young woman bent on discovering what killed her parents and avenging her losses.

Together with her parabatai Julian Blackthorn, Emma must learn to trust her head and her heart as she investigates a demonic plot that stretches across Los Angeles, from the Sunset Strip to the enchanted sea that pounds the beaches of Santa Monica. If only her heart didn’t lead her in treacherous directions…

Making things even more complicated, Julian’s brother Mark—who was captured by the faeries five years ago—has been returned as a bargaining chip. The faeries are desperate to find out who is murdering their kind—and they need the Shadowhunters’ help to do it. But time works differently in faerie, so Mark has barely aged and doesn’t recognize his family. Can he ever truly return to them? Will the faeries really allow it?

Glitz, glamours, and Shadowhunters abound in this heartrending opening to Cassandra Clare’s Dark Artifices series.","2021-12-19"
