Id,ISBN,Bookshelf,Tags,Wishlist,Started,Ended,Pages_Read,Read,Rating,Review,Short_note,Advanced_note,Quotes,Title,Subtitle,Language,Categories,Authors,Illustrators,Translators,Editors,Narrators,Photographers,Publisher,Pages,Published_At,Format,Series,Volume,Purchase_From,Purchase_Price,Purchase_Date,Description,Date_added
10640519,9781974740819,Anime Guide,Jujutsu Kaisen,0,2023-11-18,2023-11-18,168,1,4,,,,,Jujutsu Kaisen: The Official Anime Guide: Season 1,,en,Art,"Gege Akutami,Jujutsu Kaisen Production Committee",,,Shūeisha,,,VIZ Media LLC,168,2023-10-10,paperback,,,Blackwell,15.5,2023-11-18,"The official companion to the first season of the hugely popular Jujutsu Kaisen anime.

The official companion to the first season of the hugely popular Jujutsu Kaisen anime.

Enter the world of jujutsu sorcerers and cursed spirits with Jujutsu Kaisen: The Official Guide: Anime Season 1. Based on the hugely popular manga series by Gege Akutami, this guide to the Jujutsu Kaisen anime will provide readers with everything they wanted to know about the making of the action-packed series. 

Discover all the behind-the-scenes details as the anime production team discusses the painstaking work that went into translating the pages of the best-selling manga to animation. Featuring concept art, original storyboards, character design sketches, exclusive interviews, and commentary from the voice actors, this book also includes two double-sided posters and is the ultimate look into the creation of the first season of Jujutsu Kaisen!",2023-11-18
11278433,9781638589341,Chinese Novels,2ErHA,0,,,400,1,3,,,,,The Husky and His White Cat Shizun,,en,"Gay Romance,Historical Fantasy",Rou Bao Bu Chi Rou,St,,,,,Seven Seas,400,2023-04-18,paperback,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel),3,Blackwell,19.54,2023-12-07,"Also known as 2ha, the wildly popular danmei/Boys' Love novel series from China that inspired a multimedia franchise!

A historical fantasy epic about a tyrant’s second chance at life and the powerful cultivation teacher he can't get out of his mind.

Massacring his way to the top to become emperor of the cultivation world, Mo Ran’s cruel reign left him with little satisfaction. Now, upon suffering his greatest loss, he takes his own life...

To his surprise, Mo Ran awakens in his own body at age sixteen, years before he ever began his bloody conquests. Now, as a novice disciple at the cultivation sect known as Sisheng Peak, Mo Ran has a second chance at life. This time, he vows that he will attain the gratification that eluded him in his last life: the overly righteous shall fall, and none will dare treat him like a dog ever again! His furious passion burns most fiercely for his shizun, Chu Wanning, the beautiful yet cold cultivation teacher who maintains a cat-like aloofness in his presence. Yet despite Mo Ran’s shameless pursuit of his own goals, he begins to question his previously held beliefs, and wonders if there could be more to his teacher–and his own feelings–than he ever realized.

This Chinese fantasy (xianxia) epic built around the desire between two men (danmei) has been translated into multiple languages and inspired a multimedia franchise in China. The Seven Seas English-language edition will include exclusive, all-new covers and interior illustrations from...",2023-12-07
11278422,9781638589310,Chinese Novels,Sha Po Lang,0,,,450,1,4,,,,,Stars of Chaos,,en,"Genre Literature & Fiction,LGBTQ+ Romance,Steampunk Fiction",Priest,,,,,,Seven Seas,450,2023-02-21,paperback,Stars of Chaos: Sha Po Lang (Novel),1,Blackwell,19.5,2023-12-07,"The steampunk danmei/Boys’ Love novels from China that inspired multimedia adaptations–written by Priest, the author behind live-action hits Guardian and Word of Honor!

The discovery of violet gold, a vital fuel for steam-powered machines, propelled Great Liang into an age of prosperity. But for Chang Geng, a young man raised on the impoverished northern frontier, the concerns of the empire are as distant as the stars above.

When raiders from the north attack Chang Geng’s small village, he discovers that the life he knows is a lie. His mother, his teacher...even his beloved godfather, the man he trusted most in the world, are not who they seem. As enemies of the empire circle ever closer, Chang Geng must travel to the heart of the capital—with his godfather at his side—to meet his destiny.

This steampunk series set in a world like historical China, built around the desire between two men (danmei), was penned by blockbuster author Priest, whose works have been translated into many languages and inspired global multimedia franchises, including the live-action dramas Guardian and Word of Honor. The Seven Seas English-language edition will include exclusive, all-new covers and new interior illustrations.",2023-12-07
11278414,9781638585510,Chinese Novels,Tian Guan Ci Fu,0,,,444,1,3,,,,,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 6,,en,"LGBTQ+ Romance,Historical Fantasy,Romantic Fantasy","Mò Xiāng Tóng Xiù,墨香铜臭",ZeldaCW,,,,,Seven Seas Entertainment,444,2023-04-04,paperback,Heaven Official's Blessing: Tian Guan Ci Fu (Seven Seas Edition),6,Blackwell,19.4,2023-12-07,,2023-12-07
10973015,9781685796754,Chinese Novels,Yuwu (Remnants of Filth),0,,,0,0,,,,,,Remnants of Filth 2,,en,"Romance,Gay,Sci-Fi & Fantasy",Rou Bao Bu Chi Rou,,,,,,Seven Seas,433,2023-10-10,paperback,Remnants of Filth: Yuwu (Novel),2,Amazon,14.75,2023-11-07,"The wildly popular danmei/Boys' Love novel series from China set in the universe of The Husky and His White Cat Shizun!

A historical fantasy epic about two war generals who were once close...until dark circumstances ripped them apart.

Noble-born Mo Xi is the foremost general of Chonghua, known for his ruthless temper and ascetic air. Once he was one of two promising young commanders, twin stars of the empire. His comrade, the lowborn Gu Mang, was Mo Xi’s brother-in-arms, best friend, and—secretly—his lover, until the day Gu Mang turned traitor and joined the ranks of their nation’s greatest enemy.

Now Gu Mang has been returned to the empire a ruined man, a shadow of the military genius he once was. The public clamors for his death, and no one yearns for vengeance more than Mo Xi. Or so he thought—for faced once more with his bitterest enemy, Mo Xi is left with more questions than answers. Why did the man he loved betray him? And what secrets hide behind Gu Mang’s tortured eyes?",2023-11-07
10704052,9781638585527,Chinese Novels,Tian Guan Ci Fu,0,,,444,1,3,,,,,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 7,,en,"LGBTQ2S+ Fiction,Gay Romance,Historical Fantasy","Mò Xiāng Tóng Xiù,墨香铜臭",ZeldaCW,,,,,Seven Seas Entertainment,444,2023-06-20,paperback,Heaven Official's Blessing: Tian Guan Ci Fu (Novel),7,Amazon,14.65,2023-10-13,,2023-10-13
10138489,9781956609059,Chinese Novels,,0,,,0,0,,,,,,Peach Blossom Debt,,en,"Custom Stores,LGBTQ+ Fantasy Fiction,Fantasy Romance","Da Feng Gua Guo,Translator: XiA",,Xia,Demi Guo,,,Peach Flower House,424,2023-08-22,paperback,,,Blackwell,23.31,2023-10-05,"“All predestined affinities are merely debts to be repaid.”

In his mortal life, Song Yao ate an elixir pill that dropped from the heavens by accident, and thus began his life as an immortal.

After millennia of living in idleness, the Jade Emperor orders Song Yao back to the mortal plane. His task is seemingly simple: to oversee the love trial between two immortal lords. Only when he bids his old friend Hengwen Qingjun farewell at the heavenly gates is he told of his true role on the mortal plane: to steal away the heart of one of the lords, Tianshu Xingjun.

Falling from the skies with no way back, Song Yao can only wonder, who’s really being put on trial here?",2023-10-05
10091497,9781774083611,Chinese Novels,Rose and Renaissance,0,,,0,0,,,,,,Rose and Renaissance#4,,en,Comics & Graphic Novels,Zhi Chu,,MS Xia Meiling,,,,Via Lactea Ltd.,,2023-04-15,,Rose and Renaissance,4,Blackwell,22.39,2023-09-15,"Kids make choices, Adults make love. --Rose and Renaissance Cool and alpha to his core, playboy Xia Xiqing has everyone fooled with that angelic face of his, but he just had to give the game away in front of his idol and reveal his true colors⁠-and so Xia Xiqing's first encounter with his idol backfired on him and ruined his chances. Xia Xiqing: I like you a lot. Zhou Ziheng: stay-away-from-me.jpg However, Xia Xiqing beautiful face appearing for just three seconds in the audience of a press conference leads to his debut as Zhou Ziheng's foremost fan, and he, together with his idol, gets on the trending list, gets on a reality show, and gets on... That's right, it's exactly as you think. But it's not quite what Xia Xiqing thinks it to be. At first, he think he's hooked up with the unrivaled alpha of the entertainment industry, but it's only after he strips away the latter's public persona that he finds out that Zhou Ziheng is a naive and innocent tsundere. He thought he has gotten an ""I bedded my idol"" script, but in the end, it turns out to be a script of ""my idol bedded me."" How... stimulating. *lights up cigarette* Xia Xiqing: I thought you didn't like me at all. What's with all this hugging and clinging? Zhou Ziheng: Well, I take it back. Xia Xiqing goes idol-chasing at a public event just once, and it results both in him going viral and also in everything immediately backfiring on him as his true colors get revealed to his idol, thus belying his angelic appearance. Aft...",2023-09-15
10756862,9781774083598,Chinese Novels,Rose and Renaissance,0,2023-10-01,2023-10-18,370,1,3,,,,,Rose and Renaissance#2,,en,Comics & Graphic Novels,Zhi Chu,,MS Xia Meiling,,,,Via Lactea Ltd.,370,2023-04-15,,Rose and Renaissance,2,Blackwell,22.39,2023-09-15,"Kids make choices, Adults make love. --Rose and Renaissance Cool and alpha to his core, playboy Xia Xiqing has everyone fooled with that angelic face of his, but he just had to give the game away in front of his idol and reveal his true colors⁠-and so Xia Xiqing's first encounter with his idol backfired on him and ruined his chances. Xia Xiqing: I like you a lot. Zhou Ziheng: stay-away-from-me.jpg However, Xia Xiqing beautiful face appearing for just three seconds in the audience of a press conference leads to his debut as Zhou Ziheng's foremost fan, and he, together with his idol, gets on the trending list, gets on a reality show, and gets on... That's right, it's exactly as you think. But it's not quite what Xia Xiqing thinks it to be. At first, he think he's hooked up with the unrivaled alpha of the entertainment industry, but it's only after he strips away the latter's public persona that he finds out that Zhou Ziheng is a naive and innocent tsundere. He thought he has gotten an ""I bedded my idol"" script, but in the end, it turns out to be a script of ""my idol bedded me."" How... stimulating. *lights up cigarette* Xia Xiqing: I thought you didn't like me at all. What's with all this hugging and clinging? Zhou Ziheng: Well, I take it back. Xia Xiqing goes idol-chasing at a public event just once, and it results both in him going viral and also in everything immediately backfiring on him as his true colors get revealed to his idol, thus belying his angelic appearance. Aft...",2023-09-15
11210016,9781774083604,Chinese Novels,Rose and Renaissance,0,2023-11-20,2023-12-01,350,1,3,,,,,Rose and Renaissance#3,,en,Comics & Graphic Novels,Zhi Chu,,MS Xia Meiling,,,,Via Lactea Ltd.,350,2023-04-15,paperback,Rose and Renaissance,3,Blackwell,22.39,2023-09-15,"Kids make choices, Adults make love. --Rose and Renaissance Cool and alpha to his core, playboy Xia Xiqing has everyone fooled with that angelic face of his, but he just had to give the game away in front of his idol and reveal his true colors⁠-and so Xia Xiqing's first encounter with his idol backfired on him and ruined his chances. Xia Xiqing: I like you a lot. Zhou Ziheng: stay-away-from-me.jpg However, Xia Xiqing beautiful face appearing for just three seconds in the audience of a press conference leads to his debut as Zhou Ziheng's foremost fan, and he, together with his idol, gets on the trending list, gets on a reality show, and gets on... That's right, it's exactly as you think. But it's not quite what Xia Xiqing thinks it to be. At first, he think he's hooked up with the unrivaled alpha of the entertainment industry, but it's only after he strips away the latter's public persona that he finds out that Zhou Ziheng is a naive and innocent tsundere. He thought he has gotten an ""I bedded my idol"" script, but in the end, it turns out to be a script of ""my idol bedded me."" How... stimulating. *lights up cigarette* Xia Xiqing: I thought you didn't like me at all. What's with all this hugging and clinging? Zhou Ziheng: Well, I take it back. Xia Xiqing goes idol-chasing at a public event just once, and it results both in him going viral and also in everything immediately backfiring on him as his true colors get revealed to his idol, thus belying his angelic appearance. Aft...",2023-09-15
